Transecto,Sitio,Epoca,Biomasa_g_m2
1,LitoralRocoso1,Seca,210
2,LitoralRocoso1,Seca,205
3,LitoralRocoso1,Seca,215
4,LitoralRocoso1,Seca,200
5,LitoralRocoso1,Seca,215
6,LitoralRocoso1,Seca,208
7,LitoralRocoso1,Seca,212
8,LitoralRocoso1,Seca,205
9,LitoralRocoso1,Seca,210
10,LitoralRocoso1,Seca,209
11,LitoralRocoso1,Seca,200
12,LitoralRocoso1,Seca,205
13,LitoralRocoso1,Seca,203
14,LitoralRocoso1,Seca,210
15,LitoralRocoso1,Seca,208
16,LitoralRocoso1,Seca,206
17,LitoralRocoso1,Seca,201
18,LitoralRocoso1,Seca,212
19,LitoralRocoso1,Seca,205
20,LitoralRocoso1,Seca,209
21,LitoralRocoso1,Seca,212
22,LitoralRocoso1,Seca,214
23,LitoralRocoso1,Seca,210
24,LitoralRocoso1,Seca,203
25,LitoralRocoso1,Seca,208
26,LitoralRocoso1,Seca,207
27,LitoralRocoso1,Seca,212
28,LitoralRocoso1,Seca,209
29,LitoralRocoso1,Seca,210
30,LitoralRocoso1,Seca,211
31,LitoralRocoso1,Seca,206
32,LitoralRocoso1,Seca,207
33,LitoralRocoso1,Seca,208
34,LitoralRocoso1,Seca,215
35,LitoralRocoso1,Seca,210
36,LitoralRocoso1,Seca,213
37,LitoralRocoso1,Seca,207
38,LitoralRocoso1,Seca,208
39,LitoralRocoso1,Seca,210
40,LitoralRocoso1,Seca,208
41,LitoralRocoso1,Seca,211
42,LitoralRocoso1,Seca,210
43,LitoralRocoso1,Seca,209
44,LitoralRocoso1,Seca,210
45,LitoralRocoso1,Seca,204
46,LitoralRocoso1,Seca,213
47,LitoralRocoso1,Seca,208
48,LitoralRocoso1,Seca,209
49,LitoralRocoso1,Seca,215
50,LitoralRocoso1,Seca,210
1,LitoralRocoso1,Lluvia,320
2,LitoralRocoso1,Lluvia,315
3,LitoralRocoso1,Lluvia,322
4,LitoralRocoso1,Lluvia,318
5,LitoralRocoso1,Lluvia,324
6,LitoralRocoso1,Lluvia,319
7,LitoralRocoso1,Lluvia,321
8,LitoralRocoso1,Lluvia,316
9,LitoralRocoso1,Lluvia,322
10,LitoralRocoso1,Lluvia,324
11,LitoralRocoso1,Lluvia,318
12,LitoralRocoso1,Lluvia,319
13,LitoralRocoso1,Lluvia,317
14,LitoralRocoso1,Lluvia,320
15,LitoralRocoso1,Lluvia,318
16,LitoralRocoso1,Lluvia,321
17,LitoralRocoso1,Lluvia,315
18,LitoralRocoso1,Lluvia,323
19,LitoralRocoso1,Lluvia,319
20,LitoralRocoso1,Lluvia,316
21,LitoralRocoso1,Lluvia,322
22,LitoralRocoso1,Lluvia,320
23,LitoralRocoso1,Lluvia,318
24,LitoralRocoso1,Lluvia,317
25,LitoralRocoso1,Lluvia,321
26,LitoralRocoso1,Lluvia,319
27,LitoralRocoso1,Lluvia,323
28,LitoralRocoso1,Lluvia,316
29,LitoralRocoso1,Lluvia,318
30,LitoralRocoso1,Lluvia,320
31,LitoralRocoso1,Lluvia,317
32,LitoralRocoso1,Lluvia,321
33,LitoralRocoso1,Lluvia,319
34,LitoralRocoso1,Lluvia,322
35,LitoralRocoso1,Lluvia,318
36,LitoralRocoso1,Lluvia,320
37,LitoralRocoso1,Lluvia,316
38,LitoralRocoso1,Lluvia,318
39,LitoralRocoso1,Lluvia,322
40,LitoralRocoso1,Lluvia,317
41,LitoralRocoso1,Lluvia,319
42,LitoralRocoso1,Lluvia,321
43,LitoralRocoso1,Lluvia,318
44,LitoralRocoso1,Lluvia,320
45,LitoralRocoso1,Lluvia,316
46,LitoralRocoso1,Lluvia,323
47,LitoralRocoso1,Lluvia,317
48,LitoralRocoso1,Lluvia,319
49,LitoralRocoso1,Lluvia,322
50,LitoralRocoso1,Lluvia,318
1,LitoralRocoso2,Seca,150
2,LitoralRocoso2,Seca,160
3,LitoralRocoso2,Seca,152
4,LitoralRocoso2,Seca,158
5,LitoralRocoso2,Seca,155
6,LitoralRocoso2,Seca,157
7,LitoralRocoso2,Seca,154
8,LitoralRocoso2,Seca,153
9,LitoralRocoso2,Seca,151
10,LitoralRocoso2,Seca,150
11,LitoralRocoso2,Seca,160
12,LitoralRocoso2,Seca,152
13,LitoralRocoso2,Seca,158
14,LitoralRocoso2,Seca,155
15,LitoralRocoso2,Seca,157
16,LitoralRocoso2,Seca,154
17,LitoralRocoso2,Seca,153
18,LitoralRocoso2,Seca,151
19,LitoralRocoso2,Seca,150
20,LitoralRocoso2,Seca,160
21,LitoralRocoso2,Seca,152
22,LitoralRocoso2,Seca,158
23,LitoralRocoso2,Seca,155
24,LitoralRocoso2,Seca,157
25,LitoralRocoso2,Seca,154
26,LitoralRocoso2,Seca,153
27,LitoralRocoso2,Seca,151
28,LitoralRocoso2,Seca,150
29,LitoralRocoso2,Seca,160
30,LitoralRocoso2,Seca,152
31,LitoralRocoso2,Seca,158
32,LitoralRocoso2,Seca,155
33,LitoralRocoso2,Seca,157
34,LitoralRocoso2,Seca,154
35,LitoralRocoso2,Seca,153
36,LitoralRocoso2,Seca,151
37,LitoralRocoso2,Seca,150
38,LitoralRocoso2,Seca,160
39,LitoralRocoso2,Seca,152
40,LitoralRocoso2,Seca,158
41,LitoralRocoso2,Seca,155
42,LitoralRocoso2,Seca,157
43,LitoralRocoso2,Seca,154
44,LitoralRocoso2,Seca,153
45,LitoralRocoso2,Seca,151
46,LitoralRocoso2,Seca,150
47,LitoralRocoso2,Seca,160
48,LitoralRocoso2,Seca,152
49,LitoralRocoso2,Seca,158
50,LitoralRocoso2,Seca,155
1,LitoralRocoso2,Lluvia,250
2,LitoralRocoso2,Lluvia,255
3,LitoralRocoso2,Lluvia,248
4,LitoralRocoso2,Lluvia,253
5,LitoralRocoso2,Lluvia,251
6,LitoralRocoso2,Lluvia,249
7,LitoralRocoso2,Lluvia,252
8,LitoralRocoso2,Lluvia,247
9,LitoralRocoso2,Lluvia,254
10,LitoralRocoso2,Lluvia,250
11,LitoralRocoso2,Lluvia,255
12,LitoralRocoso2,Lluvia,248
13,LitoralRocoso2,Lluvia,253
14,LitoralRocoso2,Lluvia,251
15,LitoralRocoso2,Lluvia,249
16,LitoralRocoso2,Lluvia,252
17,LitoralRocoso2,Lluvia,247
18,LitoralRocoso2,Lluvia,254
19,LitoralRocoso2,Lluvia,250
20,LitoralRocoso2,Lluvia,255
21,LitoralRocoso2,Lluvia,248
22,LitoralRocoso2,Lluvia,253
23,LitoralRocoso2,Lluvia,251
24,LitoralRocoso2,Lluvia,249
25,LitoralRocoso2,Lluvia,252
26,LitoralRocoso2,Lluvia,247
27,LitoralRocoso2,Lluvia,254
28,LitoralRocoso2,Lluvia,250
29,LitoralRocoso2,Lluvia,255
30,LitoralRocoso2,Lluvia,248
31,LitoralRocoso2,Lluvia,253
32,LitoralRocoso2,Lluvia,251
33,LitoralRocoso2,Lluvia,249
34,LitoralRocoso2,Lluvia,252
35,LitoralRocoso2,Lluvia,247
36,LitoralRocoso2,Lluvia,254
37,LitoralRocoso2,Lluvia,250
38,LitoralRocoso2,Lluvia,255
39,LitoralRocoso2,Lluvia,248
40,LitoralRocoso2,Lluvia,253
41,LitoralRocoso2,Lluvia,251
42,LitoralRocoso2,Lluvia,249
43,LitoralRocoso2,Lluvia,252
44,LitoralRocoso2,Lluvia,247
45,LitoralRocoso2,Lluvia,254
46,LitoralRocoso2,Lluvia,250
47,LitoralRocoso2,Lluvia,255
48,LitoralRocoso2,Lluvia,248
49,LitoralRocoso2,Lluvia,253
50,LitoralRocoso2,Lluvia,251
