Censo,Habitat,Evento,Densidad_ind_100m2
1,PastosMarinos,PreMareaRoja,14
2,PastosMarinos,PreMareaRoja,17
3,PastosMarinos,PreMareaRoja,16
4,PastosMarinos,PreMareaRoja,15
5,PastosMarinos,PreMareaRoja,15
6,PastosMarinos,PreMareaRoja,18
7,PastosMarinos,PreMareaRoja,16
8,PastosMarinos,PreMareaRoja,14
9,PastosMarinos,PreMareaRoja,17
10,PastosMarinos,PreMareaRoja,15
11,PastosMarinos,PreMareaRoja,16
12,PastosMarinos,PreMareaRoja,15
13,PastosMarinos,PreMareaRoja,17
14,PastosMarinos,PreMareaRoja,18
15,PastosMarinos,PreMareaRoja,16
16,PastosMarinos,PreMareaRoja,15
17,PastosMarinos,PreMareaRoja,14
18,PastosMarinos,PreMareaRoja,17
19,PastosMarinos,PreMareaRoja,15
20,PastosMarinos,PreMareaRoja,16
1,PastosMarinos,PostMareaRoja,10
2,PastosMarinos,PostMareaRoja,12
3,PastosMarinos,PostMareaRoja,11
4,PastosMarinos,PostMareaRoja,10
5,PastosMarinos,PostMareaRoja,12
6,PastosMarinos,PostMareaRoja,14
7,PastosMarinos,PostMareaRoja,11
8,PastosMarinos,PostMareaRoja,10
9,PastosMarinos,PostMareaRoja,12
10,PastosMarinos,PostMareaRoja,13
11,PastosMarinos,PostMareaRoja,11
12,PastosMarinos,PostMareaRoja,12
13,PastosMarinos,PostMareaRoja,12
14,PastosMarinos,PostMareaRoja,13
15,PastosMarinos,PostMareaRoja,11
16,PastosMarinos,PostMareaRoja,10
17,PastosMarinos,PostMareaRoja,9
18,PastosMarinos,PostMareaRoja,12
19,PastosMarinos,PostMareaRoja,10
20,PastosMarinos,PostMareaRoja,11
1,ArrecifeRocoso,PreMareaRoja,30
2,ArrecifeRocoso,PreMareaRoja,28
3,ArrecifeRocoso,PreMareaRoja,32
4,ArrecifeRocoso,PreMareaRoja,29
5,ArrecifeRocoso,PreMareaRoja,30
6,ArrecifeRocoso,PreMareaRoja,31
7,ArrecifeRocoso,PreMareaRoja,28
8,ArrecifeRocoso,PreMareaRoja,29
9,ArrecifeRocoso,PreMareaRoja,32
