Especie,Abundancia,Zona
Strombus_gigas,12,Isla_San_Andres
Charonia_variegata,2,Isla_San_Andres
Cittarium_pica,15,Isla_San_Andres
Littorina_angulifera,20,Isla_San_Andres
Nerita_tessellata,13,Isla_San_Andres
Cerithium_litteratum,7,Isla_San_Andres
Turbo_castanea,8,Isla_San_Andres
Melongena_melongea,1,Isla_San_Andres
Strombus_gigas,5,Isla_Providencia
Charonia_variegata,1,Isla_Providencia
Cittarium_pica,8,Isla_Providencia
Littorina_angulifera,15,Isla_Providencia
Nerita_tessellata,15,Isla_Providencia
Cerithium_litteratum,4,Isla_Providencia
Turbo_castanea,5,Isla_Providencia
Phyllonotus_pomum,3,Isla_Providencia
Modiolus_americanus,1,Isla_Providencia
Pinctada_imbricata,2,Isla_Providencia
Fissurella_barbadensis,4,Isla_Providencia
Erosaria_acicularis,2,Isla_Providencia
Siphonaria_pterocaulis,1,Isla_Providencia
Bulla_striata,2,Isla_Providencia
Diodora_cayenensis,1,Isla_Providencia
Strombus_gigas,10,Golfo_Morrosquillo
Charonia_variegata,1,Golfo_Morrosquillo
Cittarium_pica,18,Golfo_Morrosquillo
Littorina_angulifera,25,Golfo_Morrosquillo
Nerita_tessellata,12,Golfo_Morrosquillo
Cerithium_litteratum,3,Golfo_Morrosquillo
Turbo_castanea,4,Golfo_Morrosquillo
Melongena_melongea,2,Golfo_Morrosquillo
Phyllonotus_pomum,2,Golfo_Morrosquillo
Erosaria_acicularis,1,Golfo_Morrosquillo
Diodora_cayenensis,1,Golfo_Morrosquillo
Strombus_gigas,2,Parque_Tayrona
Charonia_variegata,2,Parque_Tayrona
Cittarium_pica,5,Parque_Tayrona
Littorina_angulifera,10,Parque_Tayrona
Nerita_tessellata,9,Parque_Tayrona
Cerithium_litteratum,2,Parque_Tayrona
Turbo_castanea,2,Parque_Tayrona
Melongena_melongea,2,Parque_Tayrona
Phyllonotus_pomum,5,Parque_Tayrona
Modiolus_americanus,3,Parque_Tayrona
Pinctada_imbricata,7,Parque_Tayrona
Fissurella_barbadensis,3,Parque_Tayrona
Erosaria_acicularis,2,Parque_Tayrona
Siphonaria_pterocaulis,1,Parque_Tayrona
Bulla_striata,4,Parque_Tayrona
Terebra_dislocata,2,Parque_Tayrona
Diodora_cayenensis,2,Parque_Tayrona
Oliva_ponderosa,1,Parque_Tayrona
Polinices_melanostoma,1,Parque_Tayrona
Anadara_grandis,2,Parque_Tayrona
Strombus_gigas,8,Cartagena_Barú
Charonia_variegata,3,Cartagena_Barú
Cittarium_pica,12,Cartagena_Barú
Littorina_angulifera,18,Cartagena_Barú
Nerita_tessellata,11,Cartagena_Barú
Cerithium_litteratum,6,Cartagena_Barú
Turbo_castanea,6,Cartagena_Barú
Melongena_melongea,1,Cartagena_Barú
Fissurella_barbadensis,1,Cartagena_Barú
Oliva_ponderosa,1,Cartagena_Barú
